Period End,GHI,GHI 90,GHI 10,Period
2022-06-28T08:00:00.0000000Z,0,0,0,PT30M
2022-06-28T08:30:00.0000000Z,0,0,0,PT30M
2022-06-28T09:00:00.0000000Z,0,0,0,PT30M
2022-06-28T09:30:00.0000000Z,0,0,0,PT30M
2022-06-28T10:00:00.0000000Z,0,0,0,PT30M
2022-06-28T10:30:00.0000000Z,0,0,0,PT30M
2022-06-28T11:00:00.0000000Z,0,0,0,PT30M
2022-06-28T11:30:00.0000000Z,0,0,0,PT30M
2022-06-28T12:00:00.0000000Z,0,0,0,PT30M
2022-06-28T12:30:00.0000000Z,0,0,0,PT30M
2022-06-28T13:00:00.0000000Z,0,0,0,PT30M
2022-06-28T13:30:00.0000000Z,0,0,0,PT30M
2022-06-28T14:00:00.0000000Z,0,0,0,PT30M
2022-06-28T14:30:00.0000000Z,0,0,0,PT30M
2022-06-28T15:00:00.0000000Z,0,0,0,PT30M
2022-06-28T15:30:00.0000000Z,0,0,0,PT30M
2022-06-28T16:00:00.0000000Z,0,0,0,PT30M
2022-06-28T16:30:00.0000000Z,0,0,0,PT30M
2022-06-28T17:00:00.0000000Z,0,0,0,PT30M
2022-06-28T17:30:00.0000000Z,0,0,0,PT30M
2022-06-28T18:00:00.0000000Z,0,0,0,PT30M
2022-06-28T18:30:00.0000000Z,0,0,0,PT30M
2022-06-28T19:00:00.0000000Z,0,0,0,PT30M
2022-06-28T19:30:00.0000000Z,0,0,0,PT30M
2022-06-28T20:00:00.0000000Z,0,0,0,PT30M
2022-06-28T20:30:00.0000000Z,0,0,0,PT30M
2022-06-28T21:00:00.0000000Z,0,0,0,PT30M
2022-06-28T21:30:00.0000000Z,0,0,0,PT30M
2022-06-28T22:00:00.0000000Z,7,10,4,PT30M
2022-06-28T22:30:00.0000000Z,46,66,24,PT30M
2022-06-28T23:00:00.0000000Z,93,138,46,PT30M
2022-06-28T23:30:00.0000000Z,138,211,64,PT30M
2022-06-29T00:00:00.0000000Z,183,279,83,PT30M
2022-06-29T00:30:00.0000000Z,224,339,104,PT30M
2022-06-29T01:00:00.0000000Z,262,388,126,PT30M
2022-06-29T01:30:00.0000000Z,289,425,145,PT30M
2022-06-29T02:00:00.0000000Z,303,450,157,PT30M
2022-06-29T02:30:00.0000000Z,311,461,166,PT30M
2022-06-29T03:00:00.0000000Z,315,458,171,PT30M
2022-06-29T03:30:00.0000000Z,301,441,163,PT30M
2022-06-29T04:00:00.0000000Z,272,410,143,PT30M
2022-06-29T04:30:00.0000000Z,235,365,122,PT30M
2022-06-29T05:00:00.0000000Z,194,308,99,PT30M
2022-06-29T05:30:00.0000000Z,152,245,77,PT30M
2022-06-29T06:00:00.0000000Z,111,176,59,PT30M
2022-06-29T06:30:00.0000000Z,65,101,35,PT30M
2022-06-29T07:00:00.0000000Z,21,33,11,PT30M
2022-06-29T07:30:00.0000000Z,0,0,0,PT30M
2022-06-29T08:00:00.0000000Z,0,0,0,PT30M
2022-06-29T08:30:00.0000000Z,0,0,0,PT30M
2022-06-29T09:00:00.0000000Z,0,0,0,PT30M
2022-06-29T09:30:00.0000000Z,0,0,0,PT30M
2022-06-29T10:00:00.0000000Z,0,0,0,PT30M
2022-06-29T10:30:00.0000000Z,0,0,0,PT30M
2022-06-29T11:00:00.0000000Z,0,0,0,PT30M
2022-06-29T11:30:00.0000000Z,0,0,0,PT30M
2022-06-29T12:00:00.0000000Z,0,0,0,PT30M
2022-06-29T12:30:00.0000000Z,0,0,0,PT30M
2022-06-29T13:00:00.0000000Z,0,0,0,PT30M
2022-06-29T13:30:00.0000000Z,0,0,0,PT30M
2022-06-29T14:00:00.0000000Z,0,0,0,PT30M
2022-06-29T14:30:00.0000000Z,0,0,0,PT30M
2022-06-29T15:00:00.0000000Z,0,0,0,PT30M
2022-06-29T15:30:00.0000000Z,0,0,0,PT30M
2022-06-29T16:00:00.0000000Z,0,0,0,PT30M
2022-06-29T16:30:00.0000000Z,0,0,0,PT30M
2022-06-29T17:00:00.0000000Z,0,0,0,PT30M
2022-06-29T17:30:00.0000000Z,0,0,0,PT30M
2022-06-29T18:00:00.0000000Z,0,0,0,PT30M
2022-06-29T18:30:00.0000000Z,0,0,0,PT30M
2022-06-29T19:00:00.0000000Z,0,0,0,PT30M
2022-06-29T19:30:00.0000000Z,0,0,0,PT30M
2022-06-29T20:00:00.0000000Z,0,0,0,PT30M
2022-06-29T20:30:00.0000000Z,0,0,0,PT30M
2022-06-29T21:00:00.0000000Z,0,0,0,PT30M
2022-06-29T21:30:00.0000000Z,0,0,0,PT30M
2022-06-29T22:00:00.0000000Z,5,9,2,PT30M
2022-06-29T22:30:00.0000000Z,34,63,12,PT30M
2022-06-29T23:00:00.0000000Z,75,134,28,PT30M
2022-06-29T23:30:00.0000000Z,121,206,45,PT30M
2022-06-30T00:00:00.0000000Z,173,273,69,PT30M
2022-06-30T00:30:00.0000000Z,216,331,87,PT30M
2022-06-30T01:00:00.0000000Z,245,379,94,PT30M
2022-06-30T01:30:00.0000000Z,270,415,103,PT30M
2022-06-30T02:00:00.0000000Z,291,438,113,PT30M
2022-06-30T02:30:00.0000000Z,302,448,116,PT30M
2022-06-30T03:00:00.0000000Z,302,445,113,PT30M
2022-06-30T03:30:00.0000000Z,284,427,100,PT30M
2022-06-30T04:00:00.0000000Z,250,396,81,PT30M
2022-06-30T04:30:00.0000000Z,210,352,61,PT30M
2022-06-30T05:00:00.0000000Z,166,298,43,PT30M
2022-06-30T05:30:00.0000000Z,124,235,28,PT30M
2022-06-30T06:00:00.0000000Z,85,166,18,PT30M
2022-06-30T06:30:00.0000000Z,49,95,10,PT30M
2022-06-30T07:00:00.0000000Z,16,31,3,PT30M
2022-06-30T07:30:00.0000000Z,0,0,0,PT30M
2022-06-30T08:00:00.0000000Z,0,0,0,PT30M
